"Month","Master Index","Record Type","Master (Parent) CSJ","Individual Project CSJ","Has Multi-CSJs?","Sub-CSJ Count","Let Date","County","Highway","District","Project Type","Estimate ($)"
"2026-09",,"Sub-CSJ Project","0086-07-038","1430-02-018","Sub-CSJ of 0086-07-038","Sub-CSJ #11",,"Jim Hogg",,,,".00"
"2026-09",,"Sub-CSJ Project","0086-07-038","2530-01-017","Sub-CSJ of 0086-07-038","Sub-CSJ #12",,"Jim Hogg",,,,".00"
"2026-09","22","Master Contract","0915-11-037","0915-11-037","No (Single CSJ)","1",,"Kendall",,,,"523737.29"
"2026-09","23","Master Contract","6507-00-001","6507-00-001","No (Single CSJ)","1",,"Walker",,,,"118400"
"2026-09","24","Master Contract","0918-00-440","0918-00-440","No (Single CSJ)","1",,"Dallas",,,,"4451905"
"2026-09","25","Master Contract","6503-36-001","6503-36-001","No (Single CSJ)","1",,"Dallas",,,,"165550"
"2026-09","26","Master Contract","6509-58-001","6509-58-001","No (Single CSJ)","1",,"Karnes",,,,"855000"
"2026-09","27","Master Contract","6503-45-001","6503-45-001","No (Single CSJ)","1",,"Grayson",,,,"589225"
"2026-09","28","Master Contract","6503-37-001","6503-37-001","No (Single CSJ)","1",,"Dallas",,,,"247760"
"2026-09","29","Master Contract","6502-56-001","6502-56-001","No (Single CSJ)","1",,"Cameron",,,,"1116965.14"
"2026-09","30","Master Contract","6487-54-001","6487-54-001","No (Single CSJ)","1",,"Jasper",,,,"897329.5"
"2026-09","31","Master Contract","6504-28-001","6504-28-001","No (Single CSJ)","1",,"Hale",,,,"505439.5"
"2026-09","32","Master Contract","6503-56-001","6503-56-001","No (Single CSJ)","1",,"Angelina",,,,"297986"
"2026-09","33","Master Contract","6502-74-001","6502-74-001","No (Single CSJ)","1",,"Ellis",,,,"657100"
"2026-09","34","Master Contract","6505-03-001","6505-03-001","No (Single CSJ)","1",,"Hopkins",,,,"529638.88"
"2026-09","35","Master Contract","1911-01-023","1911-01-023","No (Single CSJ)","1",,"Galveston",,,,"3375346.25"
"2026-09","36","Master Contract","0549-02-038","0549-02-038","No (Single CSJ)","1",,"Fannin",,,,"1829363.32"
"2026-09","37","Master Contract","6508-57-001","6508-57-001","No (Single CSJ)","1",,"Tom Green",,,,"308175"
"2026-09","38","Master Contract","6507-87-001","6507-87-001","No (Single CSJ)","1",,"Grayson",,,,"979875"
"2026-09","39","Master Contract","6507-18-001","6507-18-001","No (Single CSJ)","1",,"Walker",,,,"153600"
"2026-09","40","Master Contract","6501-45-001","6501-45-001","No (Single CSJ)","1",,"Collin",,,,"127342"
"2026-09","41","Master Contract","0331-04-074","0331-04-074","No (Single CSJ)","1",,"Cameron",,,,"89950.48"
"2026-09","42","Master Contract","0051-09-127","0051-09-127","No (Single CSJ)","1",,"Galveston",,,,"2179545.8"
"2026-09","43","Master Contract","0143-10-058","0143-10-058","No (Single CSJ)","1",,"Victoria",,,,"6552127.5"
"2026-09","44","Master Contract","6494-80-001","6494-80-001","No (Single CSJ)","1",,"Navarro",,,,"58180"
"2026-09","45","Master Contract","6499-80-001","6499-80-001","No (Single CSJ)","1",,"Aransas",,,,"274987.5"
"2026-09","46","Master Contract","6508-58-001","6508-58-001","No (Single CSJ)","1",,"Tom Green",,,,"210560"
"2026-09","47","Master Contract","0722-03-016","0722-03-016","No (Single CSJ)","1",,"Red River",,,,"1707256.67"
"2026-09","48","Master Contract","6506-28-001","6506-28-001","No (Single CSJ)","1",,"Lamar",,,,"503823.4"
"2026-09","49","Master Contract","6503-46-001","6503-46-001","No (Single CSJ)","1",,"Dallas",,,,"273000"
"2026-09","50","Master Contract","6503-06-001","6503-06-001","No (Single CSJ)","1",,"Kaufman",,,,"575225"
"2026-09","51","Master Contract","0921-02-526","0921-02-526","No (Single CSJ)","1",,"Hidalgo",,,,"230687.93"
"2026-09","52","Master Contract","0427-01-042","0427-01-042","No (Single CSJ)","1",,"Red River",,,,"1783455.25"
"2026-09","53","Master Contract","6503-65-001","6503-65-001","No (Single CSJ)","1",,"Houston",,,,"241625"
"2026-09","54","Master Contract","6508-83-001","6508-83-001","No (Single CSJ)","1",,"Wichita",,,,"580851.12"
"2026-09","55","Master Contract","6480-09-001","6480-09-001","No (Single CSJ)","1",,"Potter",,,,"1800640"
"2026-09","56","Master Contract","0047-06-178","0047-06-178","Yes (2 Sub-CSJs)","2",,"Collin",,,,"3140076.5"
"2026-09",,"Sub-CSJ Project","0047-06-178","0047-14-092","Sub-CSJ of 0047-06-178","Sub-CSJ #2",,"Collin",,,,".00"
"2026-09","57","Master Contract","6507-17-001","6507-17-001","No (Single CSJ)","1",,"Freestone",,,,"108800"
"2026-09","58","Master Contract","6504-26-001","6504-26-001","No (Single CSJ)","1",,"Terry",,,,"471418"
"2026-09","59","Master Contract","6505-01-001","6505-01-001","No (Single CSJ)","1",,"Grayson",,,,"179521.04"
"2026-09","60","Master Contract","6502-16-001","6502-16-001","No (Single CSJ)","1",,"Kaufman",,,,"504850"
"2026-09","61","Master Contract","6506-61-001","6506-61-001","No (Single CSJ)","1",,"Stonewall",,,,"340995.75"
"2026-09","62","Master Contract","0221-09-039","0221-09-039","No (Single CSJ)","1",,"Titus",,,,"1181335.97"
"2026-09","63","Master Contract","6507-32-001","6507-32-001","No (Single CSJ)","1",,"Washington",,,,"138120"
"2026-09","64","Master Contract","0873-01-029","0873-01-029","Yes (10 Sub-CSJs)","10",,"Cameron",,,,"3532550.65"
"2026-09",,"Sub-CSJ Project","0873-01-029","1065-02-044","Sub-CSJ of 0873-01-029","Sub-CSJ #2",,"Cameron",,,,".00"
"2026-09",,"Sub-CSJ Project","0873-01-029","1803-02-052","Sub-CSJ of 0873-01-029","Sub-CSJ #3",,"Cameron",,,,".00"
"2026-09",,"Sub-CSJ Project","0873-01-029","2643-01-006","Sub-CSJ of 0873-01-029","Sub-CSJ #4",,"Cameron",,,,".00"
"2026-09",,"Sub-CSJ Project","0873-01-029","1803-03-010","Sub-CSJ of 0873-01-029","Sub-CSJ #5",,"Cameron",,,,".00"
"2026-09",,"Sub-CSJ Project","0873-01-029","2450-01-028","Sub-CSJ of 0873-01-029","Sub-CSJ #6",,"Cameron",,,,".00"
"2026-09",,"Sub-CSJ Project","0873-01-029","1803-02-051","Sub-CSJ of 0873-01-029","Sub-CSJ #7",,"Cameron",,,,".00"
"2026-09",,"Sub-CSJ Project","0873-01-029","1138-01-043","Sub-CSJ of 0873-01-029","Sub-CSJ #8",,"Cameron",,,,".00"
"2026-09",,"Sub-CSJ Project","0873-01-029","1588-01-003","Sub-CSJ of 0873-01-029","Sub-CSJ #9",,"Cameron",,,,".00"
"2026-09",,"Sub-CSJ Project","0873-01-029","1587-01-019","Sub-CSJ of 0873-01-029","Sub-CSJ #10",,"Cameron",,,,".00"
"2026-09","65","Master Contract","6502-53-001","6502-53-001","No (Single CSJ)","1",,"Navarro",,,,"265870"
"2026-09","66","Master Contract","6501-91-001","6501-91-001","No (Single CSJ)","1",,"Fort Bend",,,,"832244.25"
"2026-09","67","Master Contract","6505-47-001","6505-47-001","No (Single CSJ)","1",,"Upton",,,,"271612.5"
"2026-09","68","Master Contract","6505-59-001","6505-59-001","No (Single CSJ)","1",,"Tarrant",,,,"467943.89"
"2026-09","69","Master Contract","6486-78-001","6486-78-001","No (Single CSJ)","1",,"Dallas",,,,"1"
"2026-09","70","Master Contract","1505-01-016","1505-01-016","No (Single CSJ)","1",,"Cameron",,,,"11236733.53"
"2026-09","71","Master Contract","6494-58-001","6494-58-001","No (Single CSJ)","1",,"Fort Bend",,,,"532900"
"2026-09","72","Master Contract","6503-47-001","6503-47-001","No (Single CSJ)","1",,"Dallas",,,,"351250"
"2026-09","73","Master Contract","6506-17-001","6506-17-001","No (Single CSJ)","1",,"Hunt",,,,"235378.92"
"2026-09","74","Master Contract","1479-01-028","1479-01-028","Yes (2 Sub-CSJs)","2",,"Bexar",,,,"4058576.49"
"2026-09",,"Sub-CSJ Project","1479-01-028","1479-01-029","Sub-CSJ of 1479-01-028","Sub-CSJ #2",,"Bexar",,,,".00"
"2026-09","75","Master Contract","6504-01-001","6504-01-001","No (Single CSJ)","1",,"Colorado",,,,"668720"
"2026-09","76","Master Contract","1801-01-064","1801-01-064","No (Single CSJ)","1",,"Cameron",,,,"464860.04"
"2026-09","77","Master Contract","6502-47-001","6502-47-001","No (Single CSJ)","1",,"Madison",,,,"345038.5"
"2026-09","78","Master Contract","6507-63-001","6507-63-001","No (Single CSJ)","1",,"Harris",,,,"285800.28"
"2026-09","79","Master Contract","6501-50-001","6501-50-001","No (Single CSJ)","1",,"Jefferson",,,,"533742"
"2026-09","80","Master Contract","0901-19-198","0901-19-198","Yes (4 Sub-CSJs)","4",,"Grayson",,,,"2504656.39"
"2026-09",,"Sub-CSJ Project","0901-19-198","0901-32-105","Sub-CSJ of 0901-19-198","Sub-CSJ #2",,"Grayson",,,,".00"
